englishName,fourCode,sciName,sixCode
Abert's Towhee ,ABTO ,Melozone aberti ,MELABE
Acadian Flycatcher ,ACFL ,Empidonax virescens ,EMPVIR
Acorn Woodpecker ,ACWO ,Melanerpes formicivorus ,MELFOR
Adelaide's Warbler ,ADWA ,Setophaga adelaidae,SETADE
African Collared-Dove ,AFCD ,Streptopelia roseogrisea,STRROS
African Silverbill ,AFSI ,Euodice cantans ,EUOCAN
Agami Heron ,AGHE ,Agamia agami ,AGAAGA
Ainley's Storm-Petrel ,AISP ,Hydrobates cheimomnestes ,HYDCHE
Akekee ,AKEK ,Loxops caeruleirostris ,LOXCAE
Akiapolaau,AKIA,Hemignathus wilsoni,HEMWIL
Akikiki,AKIK,Oreomystis bairdi,OREBAI
Akohekohe,AKOH,Palmeria dolei,PALDOL
Alder Flycatcher,ALFL,Empidonax alnorum,EMPALN
Aleutian Cackling Goose,ACGO,Branta hutchinsii leucopareia,BRAHLE
Aleutian Tern,ALTE,Onychoprion aleuticus,ONYALE
Allen's Hummingbird,ALHU,Selasphorus sasin,SELSAS
Alpine Swift,ALSW,Apus melba,APUMEL
Altamira Oriole,ALOR,Icterus gularis,ICTGUL
Altamira Yellowthroat,ALYE,Geothlypis flavovelata,GEOFLA
Amaui,AMAU,Myadestes woahensis,MYAWOA
Amazilia Hummingbird,AMHU,Amazilis amazilia,AMAAMZ
Amazon Kingfisher,AMKI,Chloroceryle amazona,CHLAMA
American Avocet,AMAV,Recurvirostra americana,RECAME
American Bittern,AMBI,Botaurus lentiginosus,BOTLEN
American Black Duck,ABDU,Anas rubripes,ANARUB
American Black Duck X Mallard Hybrid,ABMH,Anas rubripes x platyrhynchos,ANARUP
American Coot,AMCO,Fulica americana,FULAME
American Crow,AMCR,Corvus brachyrhynchos,CORBRA
American Dipper,AMDI,Cinclus mexicanus,CINMEX
American Flamingo,AMFL,Phoenicopterus ruber,PHORUB
American Golden-Plover,AMGP,Pluvialis dominica,PLUDOM
American Goldfinch,AMGO,Spinus tristis,SPITRI
American Green-winged Teal,AGWT,Anas crecca carolinensis,ANACCA
American Kestrel,AMKE,Falco sparverius,FALSPA
American Oystercatcher,AMOY,Haematopus palliatus,HAEPAL
American Pipit,AMPI,Anthus rubescens,ANTRUB
American Pygmy Kingfisher,APKI,Chloroceryle aenea,CHLAEN
American Redstart,AMRE,Setophaga ruticilla,SETRUT
American Robin,AMRO,Turdus migratorius,TURMIG
American Three-toed Woodpecker,ATTW,Picoides dorsalis,PICDOR
American Tree Sparrow,ATSP,Spizelloides arborea,SPIARB
American White Pelican,AWPE,Pelecanus erythrorhynchos,PELERY
American Wigeon,AMWI,Mareca americana,MARAME
American Woodcock,AMWO,Scolopax minor,SCOMIN
Amethyst-throated Mountain-gem,ATMG,Lampornis amethystinus,LAMAME
Ancient Murrelet,ANMU,Synthliboramphus antiquus,SYNANT
Anhinga,ANHI,Anhinga anhinga,ANHANH
Anianiau,ANIA,Magumma parva,MAGPAR
Anna's Hummingbird,ANHU,Calypte anna,CALANN
Anna's x Costa's Hummingbird Hybrid,ACHH,Calypte anna x costae,CALANC
Antillean Crested Hummingbird,ANCH,Orthorhyncus cristatus,ORTCRI
Antillean Euphonia,ANEU,Chlorophonia musica,CHLMUS
Antillean Mango,ANMA,Anthracothorax dominicus,ANTDOM
Antillean Nighthawk,ANNI,Chordeiles gundlachii,CHOGUN
Antillean Palm-Swift,ANPS,Tachornis phoenicobia,TACPHO
Antillean Piculet,ANPI,Nesoctites micromegas,NESMIC
Antillean Siskin,ANSI,Spinus dominicensis,SPUDOM
Apapane,APAP,Himatione sanguinea,HIMSAN
Aplomado Falcon,APFA,Falco femoralis,FALFEM
Arctic Loon,ARLO,Gavia arctica,GAVARC
Arctic Tern,ARTE,Sterna paradisaea,STEPAD
Arctic Warbler,ARWA,Phylloscopus borealis,PHYBOR
Arctic/Kamchatka Leaf Warbler,AKLW,Phylloscopus borealis/examinandus,PHYBOE
Arizona Woodpecker,ARWO,Dryobates arizonae,DRYARI
Arrowhead Warbler,ARRW,Setophaga pharetra,SETPHA
Ash-throated Flycatcher,ATFL,Myiarchus cinerascens,MYICIN
Ashy Storm-Petrel,ASSP,Hydrobates homochroa,HYDHOM
Ashy-faced Owl,AFOW,Tyto glaucops,TYTGLA
Ashy-throated Chlorospingus,ATCH,Chlorospingus canigularis,CHLCAG
Asian Brown Flycatcher,ABFL,Muscicapa dauurica,MUSDAU
Asian Rosy-Finch,ASRF,Leucosticte arctoa,LEUARC
Atitlan Grebe,ATGR,Podilymbus gigas,PODGIG
Atlantic Brant,ATBR,Branta bernicula bernicla,BRABBE
Atlantic Puffin,ATPU,Fratercula arctica,FRAARC
Audubon's Oriole,AUOR,Icterus graduacauda,ICTGRA
Audubon's Shearwater,AUSH,Puffinus lherminieri,PUFLHE
Audubon's Warbler,AUWA,Setophaga coronata auduboni,SETCAU
Aztec Rail,AZRA,Rallus tenuirostris,RALTEN
Aztec Thrush,AZTH,Ridgwayia pinicola,RIDPIN
Azure Gallinule,AZGA,Porphyrio flavirostris,PORFLA
Azure-crowned Hummingbird,AZCH,Saucerottia cyanocephala,SAUCYC
